
 
,,,,,Overall,Overall,Overall,Overall,Overall,Bowls,Bowls,Bowls,Bowls,Bowls,SRS,SRS,,,
Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
,,,,,,,,,,,,,,,,,,,
123,Kentucky,1915,2023,108,1129,521,572,36,.477,22,12,10,0,.545,3.87,3.98,10,2,record adjusted to 522-571-36 by NCAA
124,Knox,1899,1905,5,52,27,23,2,.538,0,0,0,0,,-1.90,-3.67,0,0,
125,Lafayette,1882,1946,47,440,256,160,24,.609,0,0,0,0,,1.07,-2.53,0,0,
126,Lake Forest,1893,1899,5,47,17,24,6,.426,0,0,0,0,,-7.97,-3.29,0,0,
127,Lamar,1973,1981,9,97,33,60,4,.361,0,0,0,0,,-12.77,-7.68,0,0,
128,Lawrence,1905,1905,1,10,7,3,0,.700,0,0,0,0,,3.09,-1.91,0,0,
129,Lehigh,1884,1965,43,412,195,197,20,.498,0,0,0,0,,-2.98,-2.44,0,0,
130,Liberty,2018,2023,6,62,40,22,0,.645,4,3,1,0,.750,-2.31,-7.24,1,0,
131,Lombard,1903,1903,1,8,5,3,0,.625,0,0,0,0,,-2.35,-2.72,0,0,
132,Long Beach State,1969,1991,23,257,129,126,2,.506,1,0,0,1,.500,-7.67,-7.16,0,3,record adjusted to 130-125-2 by NCAA
133,Louisiana,1973,2023,51,579,266,308,5,.464,10,7,3,0,.700,-8.35,-5.90,2,6,record adjusted to 244-308-5 by NCAA
134,Louisiana Tech,1975,2023,43,494,250,237,7,.513,13,8,4,1,.654,-4.29,-4.72,0,4,record adjusted to 251-236-7 by NCAA
135,Louisiana-Monroe,1975,2023,37,416,147,267,2,.356,1,0,1,0,.000,-11.55,-5.33,0,1,
136,Louisville,1962,2023,62,705,375,322,7,.538,24,11,12,1,.479,-0.64,-1.80,11,8,record adjusted to 377-320-7 by NCAA
137,Loyola (LA),1934,1936,3,28,10,17,1,.375,0,0,0,0,,-6.61,-3.13,0,0,
138,Loyola Marymount,1933,1951,13,127,66,57,4,.535,0,0,0,0,,-2.09,-4.02,0,0,
139,LSU,1902,2023,119,1270,803,418,47,.652,54,29,24,1,.546,9.95,4.52,43,12,record adjusted to 768-414-47 by NCAA
140,Lubbock Field,1944,1944,1,9,5,4,0,.556,0,0,0,0,,-1.45,-3.01,0,0,
141,Maine,1904,1905,2,16,8,7,1,.531,0,0,0,0,,-0.56,-0.88,0,0,
142,Manhattan,1936,1942,7,63,30,31,2,.492,0,0,0,0,,-0.84,0.07,0,0,
143,March Field,1943,1944,2,21,16,3,2,.810,0,0,0,0,,5.33,-5.69,2,0,
144,Mare Island Marines,1917,1918,2,19,18,1,0,.947,2,1,1,0,.500,13.72,-5.57,0,0,
145,Marquette,1927,1960,34,306,131,160,15,.453,1,0,1,0,.000,-0.76,0.34,1,0,
146,Marshall,1962,2023,47,537,255,277,3,.479,18,13,5,0,.722,-7.86,-6.08,3,6,
147,Maryland,1917,2023,107,1137,577,529,30,.521,29,13,14,2,.483,2.42,1.81,18,11,
148,Maryville (TN),1906,1907,2,13,3,8,2,.308,0,0,0,0,,-9.89,0.71,0,0,
149,Massachusetts,1882,2023,26,240,68,166,6,.296,0,0,0,0,,-11.37,-3.86,0,0,
150,McNeese State,1975,1981,7,82,57,21,2,.725,3,1,2,0,.333,-1.17,-7.87,0,3,
151,Memphis,1960,2023,64,711,347,355,8,.494,14,6,8,0,.429,-0.96,-1.61,3,5,record adjusted to 348-354-8 by NCAA
152,Mercer,1909,1936,15,138,56,73,9,.438,0,0,0,0,,-3.92,-2.03,0,0,
153,Merchant Marine,1945,1947,3,30,11,19,0,.367,0,0,0,0,,-13.91,-8.35,0,0,
154,Miami (FL),1936,2023,87,968,607,347,12,.635,41,19,22,0,.463,8.69,3.58,33,9,
155,Miami (OH),1962,2023,62,689,373,298,15,.555,12,6,6,0,.500,-3.77,-5.92,4,10,record adjusted to 374-297-15 by NCAA
156,Michigan,1881,2023,134,1365,963,345,35,.730,50,21,29,0,.420,13.76,5.06,63,43,
157,Michigan State,1918,2023,99,1043,603,397,30,.600,30,14,16,0,.467,9.07,4.87,28,9,record adjusted to 598-402-30 by NCAA
158,Middle Tennessee State,1999,2023,25,291,143,148,0,.491,10,4,6,0,.400,-6.69,-5.93,0,2,
159,Millsaps,1924,1924,1,9,3,5,1,.389,0,0,0,0,,-10.12,-7.78,0,0,
160,Minnesota,1892,2023,132,1282,711,527,42,.572,23,11,12,0,.478,8.25,4.86,15,18,
161,Mississippi College,1911,1924,10,81,38,37,6,.506,0,0,0,0,,-3.35,-2.44,0,0,
162,Mississippi State,1902,2023,119,1208,598,572,37,.511,26,15,11,0,.577,3.50,3.06,15,1,record adjusted to 581-590-36 by NCAA
163,Mississippi Valley State,1977,1977,1,10,5,5,0,.500,0,0,0,0,,-11.39,-10.79,0,0,
164,Missouri,1901,2023,122,1258,652,556,50,.538,35,15,20,0,.429,4.75,3.20,18,12,record adjusted to 654-554-50 by NCAA
165,MIT,1882,1899,12,77,27,48,2,.364,0,0,0,0,,-5.20,0.64,0,0,
166,Montana,1917,1962,38,332,123,199,10,.386,0,0,0,0,,-8.86,-4.60,0,0,
167,Montana State,1923,1947,17,140,65,66,9,.496,1,0,0,1,.500,-7.34,-6.98,0,2,
168,Nashville,1904,1904,1,9,1,7,1,.167,0,0,0,0,,-6.15,4.40,0,0,
169,Navy,1891,2023,130,1328,700,574,52,.548,24,12,11,1,.521,3.90,1.42,14,0,
170,Nebraska,1900,2023,124,1319,877,392,38,.686,53,26,27,0,.491,10.57,3.76,48,43,record adjusted to 878-392-37 by NCAA
171,Nevada,1946,2023,37,427,230,197,0,.539,19,7,12,0,.368,-3.91,-5.62,1,7,
172,Nevada-Las Vegas,1978,2023,46,521,190,327,3,.368,4,3,1,0,.750,-9.58,-3.96,0,1,record adjusted to 172-345-3 by NCAA
173,New Hampshire,1904,1905,2,15,4,9,2,.333,0,0,0,0,,-10.04,-4.12,0,0,
174,New Mexico,1931,2023,92,991,407,568,17,.419,12,4,7,1,.375,-6.93,-4.00,0,4,
175,New Mexico State,1931,2023,90,946,326,606,14,.352,5,4,0,1,.900,-13.29,-7.76,1,4,record adjusted to 327-605-14 by NCAA
176,New York University,1927,1952,24,205,97,99,9,.495,0,0,0,0,,-4.24,-3.23,0,0,
177,Newberry,1914,1925,11,86,34,48,4,.419,0,0,0,0,,-9.95,-5.22,0,0,
178,Norman Naval Air Station,1944,1944,1,6,6,0,0,1.000,0,0,0,0,,18.01,3.51,1,0,
179,North Carolina,1902,2023,120,1265,677,536,48,.556,37,15,22,0,.405,4.74,2.83,17,7,record adjusted to 661-536-48 by NCAA
180,North Carolina Pre-Flight,1942,1943,2,18,10,6,2,.611,0,0,0,0,,3.20,2.00,0,0,
181,North Carolina State,1902,2023,118,1227,605,575,46,.512,34,17,16,1,.515,1.69,1.34,14,7,
182,North Texas,1953,2023,59,647,279,358,11,.439,12,2,10,0,.167,-7.92,-5.19,0,9,record adjusted to 282-355-11 by NCAA
183,Northern Arizona,1931,1952,19,152,49,91,12,.362,0,0,0,0,,-17.76,-11.75,0,0,
184,Northern Colorado,1923,1937,15,115,51,57,7,.474,0,0,0,0,,-10.73,-9.63,0,1,
185,Northern Illinois,1968,2023,56,637,306,327,4,.484,14,4,10,0,.286,-8.03,-6.75,1,6,
186,Northwestern,1892,2023,130,1282,549,690,40,.445,16,6,10,0,.375,2.84,5.44,13,8,record adjusted to 550-689-40 by NCAA
187,Northwestern State,1976,1979,4,41,19,22,0,.463,0,0,0,0,,-12.36,-8.13,0,0,
188,Notre Dame,1899,2023,117,1235,882,320,33,.728,41,20,21,0,.488,14.73,6.07,58,0,record adjusted to 861-320-33 by NCAA
189,Oglethorpe,1919,1925,7,69,31,35,3,.471,0,0,0,0,,-3.68,-1.98,0,0,
190,Ohio,1962,2023,62,689,303,377,9,.446,14,6,8,0,.429,-8.51,-6.63,1,3,
